"Row.names","Top","p.value","FDR","summary.logFC","logFC.Spermatocytes","ID","Symbol"
"ENSMUSG00000020472",46,0,0,-0.713307687194272,-0.713307687194272,"ENSMUSG00000020472","Zkscan17"
"ENSMUSG00000049755",95,0,0,-0.716377481663493,-0.716377481663493,"ENSMUSG00000049755","Zfp672"
"ENSMUSG00000057895",101,0,0,-0.73072835590254,-0.73072835590254,"ENSMUSG00000057895","Zfp105"
"ENSMUSG00000000552",64,0,0,-0.749858212224289,-0.749858212224289,"ENSMUSG00000000552","Zfp385a"
"ENSMUSG00000029705",81,0,0,-0.759627860271758,-0.759627860271758,"ENSMUSG00000029705","Cux1"
"ENSMUSG00000036721",68,0,0,-0.766516704647561,-0.766516704647561,"ENSMUSG00000036721","Zscan12"
"ENSMUSG00000045466",27,0,0,-0.821801946691125,-0.821801946691125,"ENSMUSG00000045466","Zfp956"
"ENSMUSG00000014859",94,0,0,-0.822340789185398,-0.822340789185398,"ENSMUSG00000014859","E2f4"
"ENSMUSG00000056383",33,0,0,-0.849601755244181,-0.849601755244181,"ENSMUSG00000056383","AI987944"
"ENSMUSG00000054716",76,0,0,-0.852583855416708,-0.852583855416708,"ENSMUSG00000054716","Zfp771"
"ENSMUSG00000026987",97,0,0,-0.865898362124145,-0.865898362124145,"ENSMUSG00000026987","Baz2b"
"ENSMUSG00000027667",90,0,0,-0.86751704583985,-0.86751704583985,"ENSMUSG00000027667","Zfp639"
"ENSMUSG00000045519",106,0,9.88131291682493e-324,-0.893363420175607,-0.893363420175607,"ENSMUSG00000045519","Zfp560"
"ENSMUSG00000067438",39,0,0,-0.93457964253112,-0.93457964253112,"ENSMUSG00000067438","Hmx1"
"ENSMUSG00000004934",108,1.26939533429947e-315,1.76892590843043e-314,-0.959387006357784,-0.959387006357784,"ENSMUSG00000004934","Pias4"
"ENSMUSG00000039205",36,0,0,-0.95958654052555,-0.95958654052555,"ENSMUSG00000039205","Ciz1"
"ENSMUSG00000008496",75,0,0,-0.96117881042864,-0.96117881042864,"ENSMUSG00000008496","Pou2f2"
"ENSMUSG00000036602",11,0,0,-0.974570574430147,-0.974570574430147,"ENSMUSG00000036602","Alx1"
"ENSMUSG00000045333",26,0,0,-0.984024886260318,-0.984024886260318,"ENSMUSG00000045333","Zfp423"
"ENSMUSG00000025912",17,0,0,-0.985629188070662,-0.985629188070662,"ENSMUSG00000025912","Mybl1"
"ENSMUSG00000015597",107,7.96384414531505e-319,1.12014859664515e-317,-0.987768984503922,-0.987768984503922,"ENSMUSG00000015597","Zfp318"
"ENSMUSG00000033237",50,0,0,-0.992648158781204,-0.992648158781204,"ENSMUSG00000033237","Arid2"
"ENSMUSG00000063281",40,0,0,-0.994887182738407,-0.994887182738407,"ENSMUSG00000063281","Zfp35"
"ENSMUSG00000041309",19,0,0,-1.0018185980196,-1.0018185980196,"ENSMUSG00000041309","Nkx6-2"
"ENSMUSG00000022760",103,0,0,-1.00241927581826,-1.00241927581826,"ENSMUSG00000022760","Thap7"
"ENSMUSG00000016831",61,0,0,-1.04798268608595,-1.04798268608595,"ENSMUSG00000016831","Tox4"
"ENSMUSG00000027102",14,0,0,-1.05206855247522,-1.05206855247522,"ENSMUSG00000027102","Hoxd8"
"ENSMUSG00000039841",58,0,0,-1.11018523608088,-1.11018523608088,"ENSMUSG00000039841","Zfp800"
"ENSMUSG00000071661",18,0,0,-1.11258320967624,-1.11258320967624,"ENSMUSG00000071661","Zbtb3"
"ENSMUSG00000093668",34,0,0,-1.11313160717846,-1.11313160717846,"ENSMUSG00000093668","Pou5f2"
"ENSMUSG00000022010",92,0,0,-1.11821011385872,-1.11821011385872,"ENSMUSG00000022010","Tsc22d1"
"ENSMUSG00000058638",25,0,0,-1.14910064077635,-1.14910064077635,"ENSMUSG00000058638","Zfp110"
"ENSMUSG00000037001",31,0,0,-1.16362368080308,-1.16362368080308,"ENSMUSG00000037001","Zfp39"
